"sample_id","coll_date","bap","impact","1.High","2.Slight","3.Low"
"7-SMON-1.6",2006-07-25,7.25,"2.Slight",0.811872958778121,0.187889439180676,0.0002376020412036
"7-SMON-11.8",2008-09-04,5.37,"2.Slight",0.454379597551499,0.409687566295395,0.135932836153106
"7-SMON-18.8",2011-09-01,4.9,"3.Low",0.0313124089872125,0.640418726603245,0.328268864409543
"7-SMON-21.5",2005-07-26,5.27,"2.Slight",0.306689019955563,0.348912298477812,0.344398681566625
"7-SMON-4.9",2005-07-26,5.22,"2.Slight",0.485307092082609,0.494956428278712,0.0197364796386796
"7-SMON-7.6",2005-07-26,4.5,"3.Low",0.487917942857331,0.416107608455994,0.0959744486866754
"7-SMON-8.4",2005-07-26,4.53,"3.Low",0.536365778768918,0.347039068955834,0.116595152275248
"7-SRAG-6.6",2006-07-27,4.53,"3.Low",0.0054169897278155,0.0937901671628697,0.900792843109315
"7-SRAG-9",2016-07-13,5.85,"2.Slight",0.85299844904254,0.146740194359369,0.000261356598090788
"7-STN7-3.4",2001-09-12,5.91,"2.Slight",0.0421610704977604,0.62160709698371,0.336231832518529
"7-SUKE-0.6",2011-08-31,4.4,"3.Low",0.0069476312315096,0.193891847985473,0.799160520783018
"7-SUKR-0.1",2006-07-25,2.51,"3.Low",3.27621258823646e-05,0.00229512178283551,0.997672116091282
"7-SXML-0.7",2012-08-08,7.26,"2.Slight",0.499913298658645,0.49622904441059,0.00385765693076462
"7-TGHN-0.8",2011-09-01,7.25,"2.Slight",0.72507073697064,0.274299429377937,0.000629833651422901
"7-TGHN-3.5",2011-09-01,7.58,"1.High",0.818326019957593,0.18167078740377,3.19263863764935e-06
"7-TGHN-9.6",2012-08-08,7.26,"2.Slight",0.941806528277493,0.0581932003970933,2.71325413646751e-07
"7-THRM-4.2",2011-09-21,4.18,"3.Low",0.847640641036958,0.152279453230003,7.99057330383279e-05
"7-TOTA-0.6",2012-08-07,4.27,"3.Low",0.0126898691092037,0.126181718134614,0.861128412756183
